,location,dag_file_name,task,missing_file_name,json_file_location,error
0,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\check_s3_to_gcs_dag.py,check_s3_to_gcs_dag.py,,,,It has some issue with dag_id
1,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\10976\APP04070-gcp-MFP_kafka_to_TD_IF\dags\gcp_assortment_supplier_group_cluster_plan_kafka_to_teradata_10976_tech_nap_merch.py,gcp_assortment_supplier_group_cluster_plan_kafka_to_teradata_10976_tech_nap_merch.py,,,,It has some issue with dag_id
2,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\17168\APP05039-gcp-stylingisf-config\dags\gcp_customer_activity_engaged_curation_ongoing_17168_styling_styling_insights_kpi.py,gcp_customer_activity_engaged_curation_ongoing_17168_styling_styling_insights_kpi.py,,,,It has some issue with dag_id
3,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\17168\APP05039-gcp-stylingisf-dags\dags\gcp_sqs_to_demand_forecast_hourly_v1_17168_styling_styling_insights_kpi.py,gcp_sqs_to_demand_forecast_hourly_v1_17168_styling_styling_insights_kpi.py,,,,It has some issue with json
4,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\17284\APP06792-gcp-merch-analytics-isf\dags\gcp_ast_prod_main_adhoc_rp_ant_spd_s3_17284_MERCH_ANALYTICS_insights_framework.py,gcp_ast_prod_main_adhoc_rp_ant_spd_s3_17284_MERCH_ANALYTICS_insights_framework.py,,,,It has some issue with dag_id
5,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\17284\APP06792-gcp-merch-analytics-isf\dags\gcp_merch_main_item_performance_rollups_17284_MERCH_ANALYTICS_insights_framework.py,gcp_merch_main_item_performance_rollups_17284_MERCH_ANALYTICS_insights_framework.py,,,,It has some issue with dag_id
6,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\17421\APP02560-gcp-insights-v2\dags\gcp_SCO_CUSTOMER_DSCO_SHIPPED_EVENT_17421_DAS_SC_OUTBOUND_APP02560_INSIGHTS_V2.py,gcp_SCO_CUSTOMER_DSCO_SHIPPED_EVENT_17421_DAS_SC_OUTBOUND_APP02560_INSIGHTS_V2.py,,,,It has some issue with dag_id
7,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\17421\APP02560-gcp-insights-v2\dags\gcp_sco_order_line_routing_assignment_17421_DAS_SC_OUTBOUND_APP02560_insights_v2.py,gcp_sco_order_line_routing_assignment_17421_DAS_SC_OUTBOUND_APP02560_insights_v2.py,,,,It has some issue with dag_id
8,C:/Users/Gaurav.Makde/PycharmProjects/pythonProject/Dataproc_Output_automation\dags\TM01179\APP08918-gcp-product-airflow-etl\dags\product_object_model_to_semantic_load.py,product_object_model_to_semantic_load.py,,,,It has some issue with dag_id
