Store_num,Store_Name,Assortment_Cluster
658,TN Terrace at Hamilton Place Rk,C
660,MD GLENARDEN RK,D
661,MD BALTIMORE RK,D
670,VA DULLES RK,C
671,VA ARLINGTON RK,C
673,DC L STREET RK,B
674,VA SPRINGFLD RK,D
675,DC METRO CTR RK,C
676,PA NORTHWAY RK,C
677,VA VIRG BCH RK,D
686,TX Northwoods Rk,C
688,TX Bandera Pointe Rk,C
691,TX The Village at Allen Rk,C
692,FL Delray Beach,C
700,GA Barrett Place Rk,C
708,TN MEMPHIS RK,D
709,TX FRISCO RK,B
711,SC CHARLESTN RK,D
712,FL FT LAUDR RK,D
713,TX PORTOFINO RK,C
714,FL WNTER PK RK,C
715,TX CEDAR PK RK,C
716,LA NEW ORLNS RK,C
717,LA LAFAYETTE RK,D
719,TX GALL PKWY RK,B
721,TX BAYBROOK RK,D
727,TX PLANO RK,C
734,TX SA RIM RK,C
735,TX SOUTHLAKE RK,B
736,TX AUS GTWY RK,B
738,TX PARKLANE RK,B
739,TX ARLINGTON RK,D
740,TX AUS SUNST RK,C
741,TX POST OAK RK,B
743,FL AVENTURA RK,C
744,TX SGRLND MK RK,D
745,TX SA ALAMO RK,C
747,TX WILLWBRK RK,D
748,TX BNKR HLL RK,C
749,OK TULSA RK,D
754,NC DURHAM RK,B
755,FL BOCA RTN RK,B
756,FL JACKSNVLL RK,C
757,FL NAPLES RK,C
758,TN NASHVILLE RK,B
764,GA M.O.G. RK,D
771,FL SAWGRASS RK,C
777,FL MIAMI RK,D
778,FL ORLANDO RK,C
779,FL KENDALL RK,B
781,FL TAMPA RK,B
782,GA ATL BUKHD RK,B
783,GA ALPHRTTA RK,D
784,FL PALM BCH RK,C
785,OK OKCITY RK,D
786,FL BRADENTON RK,C
787,AL BIRMINGHM RK,C
788,GA PERIMETER RK,C
791,SC COLUMBIA RK,D
792,SC GREENVLLE RK,D
793,FL CLEARWATR RK,D
796,FL BRANDON RK,D
797,FL MID MIAMI RK,C
798,LA BATON RGE RK,D
2221,IL Danada Square East Rk,C
2242,NE Village Pointe Rk,C
2261,OH Macedonia Gateway Rk,C
2262,OH Deerfield Towne Center Rk,C
2263,IN Hamilton Town Center Rk,C
3341,CA Village Walk Rk,B
3361,CA Pacific Coast Plaza Rk,B
3362,CA Clairemont Town Square Rk,B
3721,TX Meyerland Plaza Rk,C
3761,AZ Queen Creek Marketplace Rk,C
5511,NY Gardiner Manor Mall Rk,C
7751,NC Mooresville Crossing Rk,C
7752,NC Triangle Town Place Rk,C
7753,TN Cool Springs Market Rk,C
7761,FL South Beach Regional Rk,C
7762,FL Bell Tower Shops Rk,C
210,NYC FLAGSHIP,A
212,MENS STORE NYC,A
209,MANHATTAN SSA,A
220,MICHIGAN AVENUE,A
221,OAKBROOK,A
320,SOUTH COAST,A
341,TOPANGA,A
360,FASHION VALLEY,A
380,FASHION SQUARE,A
421,WALNUT CREEK,A
425,VALLEY FAIR,A
434,GALLERIA,A
600,TYSONS CORNER,A
629,KING OF PRUSSIA,A
765,INTERNATL PLAZA,A
1,DT SEATTLE,A
4,BELLEVUE,A
25,WASH SQUARE,A
34,PARK MEADOWS,A
222,MALL OF AMERICA,A
723,NORTHPARK,A
730,HOUSTON GALLERI,A
32,FASHION PLACE,B
223,OLD ORCHARD,B
227,BEACHWOOD PLACE,B
230,OAK PARK MALL,B
237,ROSS PARK,B
238,KEYSTONE,B
321,BREA MALL,B
322,LOS CERRITOS,B
326,MISSION VIEJO,B
333,FASHION ISLAND,B
340,AMERICANA,B
342,DEL AMO FSH CTR,B
345,SANTA ANITA,B
349,THE GROVE,B
361,UTC,B
384,CENTURY CITY,B
386,FASHION SHOW,B
422,PALO ALTO,B
423,CORTE MADERA,B
520,GARDEN STATE,B
523,THE WESTCHESTER,B
524,ROOSEVELT FIELD,B
527,SHORT HILLS,B
621,PENTAGON CITY,B
622,TOWSON CENTER,B
623,MONTGOMERY,B
706,ALA MOANA,B
732,LA CANTERA,B
750,SOUTHPARK,B
759,GREEN HILLS,B
5,SOUTHCENTER,B
6,TACOMA MALL,B
10,ALDERWOOD,B
20,DT PORTLAND,B
37,CHERRY CREEK,B
228,SOMERSET NORTH,B
724,STONEBRIAR MALL,B
731,BARTON CRK SQ,B
733,DOMAIN NRTHSIDE,B
760,PERIMETER MALL,B
762,BOCA RATON,B
763,MERRICK PARK,B
772,PHIPPS PLAZA,B
773,PALM BCH GARDNS,B
774,AVENTURA,B
9,SPOKANE,C
73,CITY CREEK CTR,C
225,WOODFIELD MALL,C
232,WEST COUNTY,C
234,EASTON,C
239,KENWOOD TWN CTR,C
240,SAINT LOUIS,C
282,MAYFAIR,C
330,IRVINE SPECTRUM,C
348,THE OAKS,C
353,SANTA MONICA PL,C
420,HILLSDALE,C
521,MENLO PARK,C
526,WESTFARMS,C
531,NATICK,C
534,SOUTH SHORE PLZ,C
535,BURLINGTON,C
536,NORTHSHORE,C
538,SONO COLLECTION,C
631,COLUMBIA,C
637,CHERRY HILL,C
639,CHRISTIANA,C
751,SOUTHPOINT,C
789,ST JOHN TWN CTR,C
235,TWELVE OAKS,C
283,RIDGEDALE CENTR,C
720,GALLERIA DALLAS,C
746,WOODLANDS MALL,C
